TOKEN		OUTPUT			CORRECT
husin			husin (0)			hus
lösöra			lösöra (0)			lösöre
takær			takær (0)			taka
a			af (0.666667)			a
þa			þiggia (0.5)			þa
þæn			þæn (0)			þän
omundina			omundina (0)			urmynd
ut lukær			ut lukær (0)			utluka
uita			uita (0)			vita
mæþ			mæþ (0)			mäþ
tuem			tuem (0)			tver
niþinne			niþinne (0)			niþ
ok			uk (1)			ok
æftir			æftir (0)			äptir
huat			huat (0)			hvar
hænne			hænne (0)			hon
uarþ			uarþ (0)			varþa
omynd			omynd (0)			urmynd
giort			giort (0)			göra
hufru			hufru (0)			husfru
þa			þiggia (0.5)			þa
æruir			æruir (0)			ärva
bondin			bondin (0)			bonde
þriþiung			þriþiung (0)			þriþiunger
hænna			hænna (0)			hon
mæþan			mæþan (0)			mäþan
þa			þiggia (0.5)			þa
æruir			æruir (0)			ärva
bondin			bondin (0)			bonde
sua			sua (0)			sva
köpu eghn			köpu eghn (0)			köpe äng
alt			alt (0)			alder
bo			boa (1)			bo
fa			far (1)			fä
fur þing			fur þing (0)			forþing
hænna			hænna (0)			hon
unan			unan (0)			utan
hindra dax gæf			hindra dax gæf (0)			hindradags giäf
ok			uk (1)			ok
omynd			omynd (0)			urmynd
hænna			hænna (0)			hon
rættum			rættum (0)			rätter
ut fa			ut fa (0)			utfa
bulstær			bulstær (0)			bulster
at			ägha (0.5)			at
förstu			förstu (0)			fyrster
ær			ær (0)			vara
haluu			haluu (0)			halver
uærre			uærre (0)			värre
æn			æn (0)			än
uar			uar (0)			vara
ok			uk (1)			ok
attu			attu (0)			ägha
ok			uk (1)			ok
hyrnu			hyrnu (0)			hyrna
þa			þiggia (0.5)			þa
gangær			gangær (0)			ganga
egh			äg (0.666667)			eigh
þæt			þæt (0)			þän
fullnaþa			fullnaþa (0)			fulnaþer
ær			ær (0)			vara
þæt			þæt (0)			þän
annöþught			annöþught (0)			annöþoger
ær			ær (0)			är
omynd			omynd (0)			urmynd
giorþ			giurþ (1)			göra
æru			æru (0)			vara
ok			uk (1)			ok
æru			æru (0)			vara
sua			sua (0)			sva
at			ägha (0.5)			at
ængsins			ængsins (0)			ängin
för			fyr (1)			för
æru			æru (0)			vara
ælla			ælla (0)			älla
gaw			gaw (0)			giva
frælse			frælse (0)			frälse
þa			þiggia (0.5)			þa
gangær			gangær (0)			ganga
þær			þær (0)			þär
egh			äg (0.666667)			eigh
fulnaþær			fulnaþær (0)			fulnaþer
firi			firi (0)			for
ær			ær (0)			vara
þæt			þæt (0)			þän
salt			sander (1)			sälia
bort			borþ (1)			bort
ælla			ælla (0)			älla
löstis			löstis (0)			lösa
ælla			ælla (0)			älla
þa			þiggia (0.5)			þa
fulle			fulle (0)			fylla
bondin			bondin (0)			bonde
þreia			þreia (0)			þrir
markær			markær (0)			mark
firi			firi (0)			for
þæt			þæt (0)			þän
ena			ena (0)			en
huwþit			huwþit (0)			hovuþ
ok			uk (1)			ok
sua			sua (0)			sva
æn			æn (0)			än
þæt			þæt (0)			þän
ær			ær (0)			vara
lupit			lupit (0)			löpa
bort			borþ (1)			bort
ær			ær (0)			vara
at			ägha (0.5)			at
andru			andru (0)			annar
hofþe			hofþe (0)			hovuþ
þa			þiggia (0.5)			þän
hon			han (1)			hon
fa			far (1)			fa
ok			uk (1)			ok
ærua			ærua (0)			ärva
hon			han (1)			hon
a			af (0.666667)			ägha
omynd			omynd (0)			urmynd
firi utan			firi utan (0)			for utan
köpu eghn			köpu eghn (0)			köpe äng
ælla			ælla (0)			älla
hon			han (1)			hon
giptis			giptis (0)			gipta
annan			annan (0)			annar
tima			tima (0)			time
mæþ			mæþ (0)			mäþ
hænne			hænne (0)			hon
þa			þiggia (0.5)			þa
gangær			gangær (0)			ganga
omynd			omynd (0)			urmynd
bondin			bondin (0)			bonde
ut luka			ut luka (0)			utluka
þa			þiggia (0.5)			þän
intok			intok (0)			intaka
at			ägha (0.5)			at
andru			andru (0)			annar
hofþe			hofþe (0)			hovuþ
iam fulla			iam fulla (0)			iämfulder
ha			ha (0)			har
ok			uk (1)			ok
hamnu			hamnu (0)			hamna
hana			han (1)			hon
in tok			in tok (0)			intaka
hauær			hauær (0)			hava
hana			han (1)			hon
köpt			köpt (0)			köpa
bort			borþ (1)			bort
annurkost			annurkost (0)			annarkost
æn			æn (0)			än
skilt			skilt (0)			skilia
ær			ær (0)			vara
þa			þiggia (0.5)			þa
firi			firi (0)			for
fulla			fulla (0)			fylla
at			ägha (0.5)			at
hofþe			hofþe (0)			hovuþ
ut luka			ut luka (0)			utluka
siluær			siluær (0)			silver
æn			æn (0)			än
þæt			þæt (0)			þän
ær			ær (0)			vara
sua			sua (0)			sva
in tok			in tok (0)			intaka
egh			äg (0.666667)			eigh
ok			uk (1)			ok
egh			äg (0.666667)			eigh
mera			mär (1)			mere
æn			æn (0)			än
a			af (0.666667)			a
þa			þiggia (0.5)			þa
uita			uita (0)			vita
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
tue			tue (0)			tver
hænna			hænna (0)			hon
niþium			niþium (0)			niþ
knæ			knæ (0)			knä
taki			taki (0)			taka
slika			slika (0)			sliker
fa			far (1)			fa
knæ			knæ (0)			knä
fæmtan			fæmtan (0)			fämtan
ara			vara (1)			ar
æru			æru (0)			vara
egh			äg (0.666667)			eigh
tua			tua (0)			tver
bröþær			bröþær (0)			broþir
at			ägha (0.5)			at
æmgot			æmgot (0)			iämgoþer
ær			ær (0)			vara
ut giort			ut giort (0)			utgöra
in tok			in tok (0)			intaka
ok			uk (1)			ok
æftir			æftir (0)			äptir
egh			äg (0.666667)			eigh
fa			far (1)			fa
rættan			rættan (0)			rätter
skaparua			skaparua (0)			skaparvi
þa			þiggia (0.5)			þa
omynd			omynd (0)			urmynd
þær			þær (0)			þär
in ganga			in ganga (0)			inganga
hon			han (1)			hon
ær			ær (0)			vara
ut giorþ			ut giorþ (0)			utgöra
æ til			æ til (0)			ä til
manzs			manzs (0)			maþer
æn			æn (0)			än
fa			far (1)			fa
egh			äg (0.666667)			eigh
rættan			rættan (0)			rätter
skaparua			skaparua (0)			skaparvi
af liþær			af liþær (0)			afliþa
þa			þiggia (0.5)			þa
takær			takær (0)			taka
þæn			þæn (0)			þän
omynd			omynd (0)			urmynd
næstær			næstær (0)			näster
ær			ær (0)			vara
bondans			bondans (0)			bonde
firi			firi (0)			for
luke			luke (0)			luka
afræþe			afræþe (0)			afraþ
næn			næn (0)			näst
fa			far (1)			fa
iulum			iulum (0)			iul
æn			æn (0)			än
egh			äg (0.666667)			eigh
ær			ær (0)			vara
lukit			lukit (0)			luka
hon			han (1)			hon
æftir			æftir (0)			äptir
þa			þiggia (0.5)			þa
þere			þere (0)			þän
giua			giua (0)			giva
ok			uk (1)			ok
afraþe			afraþe (0)			afraþ
halda			halla (1)			halda
uær sæþ			uær sæþ (0)			varsäþ
ok			uk (1)			ok
sua			sua (0)			sva
træþis æriu			træþis æriu (0)			träþis äria
æn			æn (0)			än
bor			bor (0)			boa
a			af (0.666667)			a
þerre			þerre (0)			þän
hun			hun (0)			hon
bor			bor (0)			boa
mæþ			mæþ (0)			mäþ
ok			uk (1)			ok
bondin			bondin (0)			bonde
þa			þiggia (0.5)			þa
ærua			ærua (0)			ärva
moþirin			moþirin (0)			moþir
a			af (0.666667)			ägha
uitzs orþ			uitzs orþ (0)			vitsorþ
seia			sea (1)			sighia
firi			firi (0)			for
barna			barna (0)			barn
gozs			gozs (0)			gods
mæþ			mæþ (0)			mäþ
næsta			næsta (0)			nästa
fæþrinis frænda			fæþrinis frænda (0)			fäþrinis frände*
raþe			raþe (0)			raþ
æ			æ (0)			ä
mæþan			mæþan (0)			mäþan
hon			han (1)			hon
ogipt			ogipt (0)			ogipter
ær			ær (0)			vara
fæþringa			fæþringa (0)			fäþringar
gærsima			gærsima (0)			görsem
þerra			þerra (0)			þän
ok			uk (1)			ok
gömu			gömu (0)			göma
ok			uk (1)			ok
fæþringa			fæþringa (0)			fäþringar
inlasum			inlasum (0)			inlas
ok			uk (1)			ok
hon			han (1)			hon
utlasum			utlasum (0)			utlas
egh			äg (0.666667)			eigh
hon			han (1)			hon
þerra			þerra (0)			þän
sælia			sælia (0)			sälia
ælla			ælla (0)			älla
staþ			staþ (0)			staþer
ok			uk (1)			ok
egh			äg (0.666667)			eigh
þerra			þerra (0)			þän
gærsimum			gærsimum (0)			görsem
forhægþa			forhægþa (0)			forhäghþa
þerra			þerra (0)			þän
mals manzs			mals manzs (0)			mals maþer
uit			uit (0)			vit
ok			uk (1)			ok
uilia			uilia (0)			vili
ok			uk (1)			ok
siluær			siluær (0)			silver
ok			uk (1)			ok
ok			uk (1)			ok
annöþugh			annöþugh (0)			annöþoger
þæt			þæt (0)			þän
kallas			kallas (0)			kalla
gærsima			gærsima (0)			görsem
ok			uk (1)			ok
bulstra			bulstra (0)			bulster
þy lik			þy lik (0)			þyliker
ær			ær (0)			vara
saght			saght (0)			sighia
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
þæt			þæt (0)			þän
atær			atær (0)			ater
þæt			þæt (0)			þän
ær			ær (0)			vara
gangær			gangær (0)			ganga
a			af (0.666667)			a
andra			andra (0)			annar
giptu			giptu (0)			gipta
ok			uk (1)			ok
a			af (0.666667)			a
andra			andra (0)			annar
raþa gærþ			raþa gærþ (0)			raþa gärþ
þa			þiggia (0.5)			þa
næstu			næstu (0)			näster
fæþrinis frændær			fæþrinis frændær (0)			fäþrinis frände*
firi			firi (0)			for
barnanna			barnanna (0)			barn
bo			boa (1)			bo
ær			ær (0)			vara
þæn			þæn (0)			þän
litils			litils (0)			litil
uitande			uitande (0)			vita
firi			firi (0)			for
sea			sea (0)			sea+for
ok			uk (1)			ok
hauær			hauær (0)			hava
sinu			sina (1)			sin
goþzs			goþzs (0)			gods
forhæþat			forhæþat (0)			forhäghþa
þa			þiggia (0.5)			þa
þæn			þæn (0)			þän
egh			äg (0.666667)			eigh
annars			annars (0)			annar
goþzs			goþzs (0)			gods
egh			äg (0.666667)			eigh
firi			firi (0)			for
sinu			sina (1)			sin
þa			þiggia (0.5)			þa
frændær			frændær (0)			frände
þerra			þerra (0)			þän
þingxs			þingxs (0)			þing
ok			uk (1)			ok
kæra			kæra (0)			kära
firi			firi (0)			for
kununge			kununge (0)			konunger
ælla			ælla (0)			älla
laghmanne			laghmanne (0)			laghman
hittis			hittis (0)			hitta
san			san (0)			sander
þær til			þær til (0)			þär
at			ägha (0.5)			at
ær			ær (0)			vara
sua			sua (0)			sva
at			ägha (0.5)			at
gitær			gitær (0)			gita
egh			äg (0.666667)			eigh
ælla			ælla (0)			älla
sua			sua (0)			sva
osniældær			osniældær (0)			osniälder
at			ägha (0.5)			at
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
þæn			þæn (0)			þän
firi			firi (0)			for
gitær			gitær (0)			gita
ok			uk (1)			ok
ok			uk (1)			ok
uæl			uæl (0)			väl
uill			uill (0)			vilia
faþinis frændum			faþinis frændum (0)			fäþrinis frände*
æn			æn (0)			än
fæþrinis frændrini			fæþrinis frændrini (0)			fäþrinis frände*
æru			æru (0)			vara
delu mæn			delu mæn (0)			delu maþer
barnanna			barnanna (0)			barn
þa			þiggia (0.5)			þa
möþringa			möþringa (0)			möþringar
þerra			þerra (0)			þän
mals mæn			mals mæn (0)			mals maþer
uara			uara (0)			vara
mal			mala (1)			mal
þerra			þerra (0)			þän
kæris			kæris (0)			kära
ok			uk (1)			ok
egh			äg (0.666667)			eigh
annur			annur (0)			annar
mal			mala (1)			mal
þu			þän (1)			þa
fæþrinis frændrini			fæþrinis frændrini (0)			fäþrinis frände*
ok			uk (1)			ok
suara			suara (0)			svara
firi			firi (0)			for
moþurinna			moþurinna (0)			moþir
þa			þiggia (0.5)			þa
æruir			æruir (0)			ärva
hon			han (1)			hon
en			än (0.666667)			en
huwþ lut			huwþ lut (0)			hovuþluter
uiþær			uiþær (0)			viþ
huat			huat (0)			hvat
þæt			þæt (0)			þän
æru			æru (0)			vara
ælla			ælla (0)			älla
dötær			dötær (0)			dottir
æru			æru (0)			vara
baþe			baþir (1)			baþe
ok			uk (1)			ok
dötær			dötær (0)			dottir
þa			þiggia (0.5)			þa
æruir			æruir (0)			ärva
sua			sua (0)			sva
æru			æru (0)			vara
alt			alt (0)			alder
dötær			dötær (0)			dottir
ok			uk (1)			ok
ængin			ængin (0)			ängin
þa			þiggia (0.5)			þa
æruir			æruir (0)			ärva
sua			sua (0)			sva
æruir			æruir (0)			ärva
sundærkulla			sundærkulla (0)			sunderkulla
mæþan			mæþan (0)			mäþan
liua			liua (0)			liva
ær			ær (0)			vara+til
egh			äg (0.666667)			eigh
þa			þiggia (0.5)			þa
æruir			æruir (0)			ärva
sundærkulla			sundærkulla (0)			sunderkulla
mæþær			mæþær (0)			mäþ
hænna			hænna (0)			hon
ærua			ærua (0)			ärva
mæþ			mæþ (0)			mäþ
gangær			gangær (0)			ganga
kuldær			kuldær (0)			kulder
a			af (0.666667)			a
för æn			för æn (0)			fyr än
ær			ær (0)			vara
aldær			aldær (0)			äldre
döþær			döþær (0)			döþer
af liþær			af liþær (0)			afliþa
bröþra aruinu			bröþra aruinu (0)			*brödhra arf
þa			þiggia (0.5)			þa
alt			alt (0)			alder
þæt			þæt (0)			þän
sundærkulla			sundærkulla (0)			sunderkulla
kombær			kombær (0)			koma
þa			þiggia (0.5)			þa
æruir			æruir (0)			ärva
sua			sua (0)			sva
sundær kulla			sundær kulla (0)			sunderkulla
æruir			æruir (0)			ärva
hon			han (1)			hon
bo			boa (1)			bo
æftir			æftir (0)			äptir
alt			alt (0)			alder
þæt			þæt (0)			þän
bondin			bondin (0)			bonde
före			fyrre (1)			föra
sik			sighia (0.5)			sik
garzs			garzs (0)			garþer
ok			uk (1)			ok
grinda stolpa			grinda stolpa (0)			grinda stolpe
þær			þær (0)			þär
a			af (0.666667)			ägha
tua			tua (0)			tver
ok			uk (1)			ok
husfrum			husfrum (0)			husfru
þriþiungh			þriþiungh (0)			þriþiunger
alt			alt (0)			alder
þæt			þæt (0)			þän
kuart			kuart (0)			qvar
standær			standær (0)			standa
þæt			þæt (0)			þän
fylgir			fylgir (0)			fylghia
alt			alt (0)			alder
omynd			omynd (0)			urmynd
ok			uk (1)			ok
alt			alt (0)			alder
bo fæ			bo fæ (0)			bofä
þær			þær (0)			þär
ær			ær (0)			vara
gæstær			gæstær (0)			gäster
garzs			garzs (0)			garþer
ok			uk (1)			ok
egh			äg (0.666667)			eigh
giptis			giptis (0)			gipta
ok			uk (1)			ok
fa			far (1)			fa
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
giptis			giptis (0)			gipta
hon			han (1)			hon
andrum			andrum (0)			annar
ok			uk (1)			ok
mæþ			mæþ (0)			mäþ
þa			þiggia (0.5)			þa
ok			uk (1)			ok
hauar			hauar (0)			hava
tua			tua (0)			tver
kulla			kulla (0)			kulder
æpti			æpti (0)			äptir
sik			sighia (0.5)			sik
þa			þiggia (0.5)			þa
takær			takær (0)			taka
sua			sua (0)			sva
kudær			kudær (0)			kulder
kuldær			kuldær (0)			kulder
omynd			omynd (0)			urmynd
iam mykit			iam mykit (0)			iämmykin
en			än (0.666667)			en
bolfæ			bolfæ (0)			bolfä
ok			uk (1)			ok
omynd			omynd (0)			urmynd
lösöra			lösöra (0)			lösöre
skiptin			skiptin (0)			skipta
syszskini			syszskini (0)			systkine
mællum			mællum (0)			mällom
sin			sin (0.6)			sik
æm iamt			æm iamt (0)			iämiämn
bor			bor (0)			boa
bo			boa (1)			bo
mæþ			mæþ (0)			mäþ
en			än (0.666667)			en
þa			þiggia (0.5)			þa
æruir			æruir (0)			ärva
bondin			bondin (0)			bonde
baþe			baþir (1)			baþe
sik			sighia (0.5)			sik
ok			uk (1)			ok
ær			ær (0)			vara
a			af (0.666667)			a
andra			andra (0)			annar
giptu			giptu (0)			gipta
ælla			ælla (0)			älla
hauæn			hauæn (0)			hava
ogiptan			ogiptan (0)			ogipter
alli			alli (0)			alder
þer			þär (0.75)			þän
þa			þiggia (0.5)			þän
æruir			æruir (0)			ärva
sa			sva (0.666667)			sa
ok			uk (1)			ok
egh			äg (0.666667)			eigh
gipte			gipte (0)			gipta
giuær			giuær (0)			giva
uingæua			uingæua (0)			vingiäf
ok			uk (1)			ok
gær			gær (0)			göra
ölgærþ			ölgærþ (0)			ölgärþ
þæt			þæt (0)			þän
gangær			gangær (0)			ganga
egh			äg (0.666667)			eigh
bröþrum			bröþrum (0)			broþir
fulnaþa			fulnaþa (0)			fulnaþer
bröþær			bröþær (0)			broþir
bo			boa (1)			bo
ok			uk (1)			ok
giptis			giptis (0)			gipta
en			än (0.666667)			en
ok			uk (1)			ok
giuær			giuær (0)			giva
uingæua			uingæua (0)			vingiäf
ok			uk (1)			ok
gær			gær (0)			göra
ölgærþ			ölgærþ (0)			ölgärþ
þær			þær (0)			þär
bröþær			bröþær (0)			broþir
fullnaþ			fullnaþ (0)			fulnaþer
firi			firi (0)			for
uingæua			uingæua (0)			vingiäf
ok			uk (1)			ok
markær			markær (0)			mark
firi			firi (0)			for
ölgærþ			ölgærþ (0)			ölgärþ
uilia			uilia (0)			vilia
bröþær			bröþær (0)			broþir
systur			systur (0)			systir
þa			þiggia (0.5)			þa
omynd			omynd (0)			urmynd
gæra			gæra (0)			göra
ok			uk (1)			ok
fylgþ			fylgþ (0)			hemfylghþ
hænna			hænna (0)			hon
egh			äg (0.666667)			eigh
sundærkulla			sundærkulla (0)			sunderkulla
sialuær			sialuær (0)			siälver
takær			takær (0)			taka
fostra			fostra (0)			fostre
ok			uk (1)			ok
biþær			biþær (0)			biþia
fræsa			fræsa (0)			fräls
kunu			kunu (0)			kona
ok			uk (1)			ok
kallar			kalder (1)			kalla
frælsan			frælsan (0)			fräls
uara			uara (0)			vara
biþær			biþær (0)			biþia
fræls			fræls (0)			fräls
fostru			fostru (0)			fostra*
ok			uk (1)			ok
kalla			kalder (1)			kalla
hana			han (1)			hon
frælsa			frælsa (0)			fräls
uara			uara (0)			vara
hauin			hauin (0)			hava
þær			þær (0)			þän
firi giuit			firi giuit (0)			for
uan			uan (0)			van
ok			uk (1)			ok
uarin			uarin (0)			vara
fræls			fræls (0)			fräls
ok			uk (1)			ok
alt			alt (0)			alder
þæt			þæt (0)			þän
kombær			kombær (0)			koma
ok			uk (1)			ok
a			af (0.666667)			ägha
frælsa			frælsa (0)			fräls
omynd			omynd (0)			urmynd
biþær			biþær (0)			biþia
fræls			fræls (0)			fräls
fostru			fostru (0)			fostra*
ok			uk (1)			ok
uet			uet (0)			vita
at			ägha (0.5)			at
hon			han (1)			hon
ær			ær (0)			vara
fostra			fostra (0)			fostra*
omynd			omynd (0)			urmynd
hænna			hænna (0)			hon
ær			ær (0)			vara
biþær			biþær (0)			biþia
frælsa			frælsa (0)			fräls
kunu			kunu (0)			kona
ok			uk (1)			ok
hon			han (1)			hon
uet			uet (0)			vita
at			ägha (0.5)			at
ær			ær (0)			vara
þa			þiggia (0.5)			þa
minskas			minskas (0)			minzka
rættær			rættær (0)			rätter
hænna			hænna (0)			hon
hænna			hænna (0)			hon
omynd			omynd (0)			urmynd
ær			ær (0)			vara
bos			bos (0)			bo
ok			uk (1)			ok
barna			barna (0)			barn
ok			uk (1)			ok
þa			þiggia (0.5)			þa
þa			þiggia (0.5)			þa
takær			takær (0)			taka
þæn			þæn (0)			þän
tua			tua (0)			tver
bo			boa (1)			bo
ok			uk (1)			ok
hon			han (1)			hon
omynd			omynd (0)			urmynd
þæt			þæt (0)			þän
æru			æru (0)			vara
ok			uk (1)			ok
þriþiung			þriþiung (0)			þriþiunger
bo			boa (1)			bo
ok			uk (1)			ok
æ			æ (0)			ä
a			af (0.666667)			a
bætri			bætri (0)			bätre
fostra			fostra (0)			fostre
taki			taki (0)			taka
þæn			þæn (0)			þän
uan			uan (0)			van
a			af (0.666667)			ägha
hænna			hænna (0)			hon
omynd			omynd (0)			urmynd
hænna			hænna (0)			hon
ok			uk (1)			ok
þriþiung			þriþiung (0)			þriþiunger
bo			boa (1)			bo
æ			æ (0)			ä
a			af (0.666667)			a
bætre			bætre (0)			bätre
fylghin			fylghin (0)			fylghia
fræls			fræls (0)			fräls
æ			æ (0)			ä
giftir			giftir (0)			gipta
fostru			fostru (0)			fostra*
fostra			fostra (0)			fostre
annars			annars (0)			annar
manzs			manzs (0)			maþer
æru			æru (0)			vara
þer			þär (0.75)			þän
uiþær			uiþær (0)			viþ
uan			uan (0)			van
þerra			þerra (0)			þän
þa			þiggia (0.5)			þa
ær			ær (0)			vara
omynd			omynd (0)			urmynd
þerra			þerra (0)			þän
tue			tue (0)			tver
þæt			þæt (0)			þän
ok			uk (1)			ok
hofþa dyna			hofþa dyna (0)			höfþa dyna
þæt			þæt (0)			þän
hetir			hetir (0)			heta
hamar siangh			hamar siangh (0)			hamarsiäng
alla			alder (1)			afla
bos			bos (0)			bo
ok			uk (1)			ok
barna			barna (0)			barn
þa			þiggia (0.5)			þa
takær			takær (0)			taka
fostruna			fostruna (0)			fostra*
omyndina			omyndina (0)			urmynd
ok			uk (1)			ok
þriþiung			þriþiung (0)			þriþiunger
bo			boa (1)			bo
ok			uk (1)			ok
sua			sua (0)			sva
barnum			barnum (0)			barn
ok			uk (1)			ok
forstran			forstran (0)			fostre
tua			tua (0)			tver
bo			boa (1)			bo
ok			uk (1)			ok
sua			sua (0)			sva
barnum			barnum (0)			barn
gangær			gangær (0)			ganga
manzs			manzs (0)			maþer
æfte			æfte (0)			äptir
fostru			fostru (0)			fostra*
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
egh			äg (0.666667)			eigh
kæfsir			kæfsir (0)			käfsir
barnum			barnum (0)			barn
